chem_id,compound_class
19,6
21,13
25,14
26,11
29,21
30,5
31,5
32,5
35,9
37,21
41,14
43,9
45,5
48,16
49,16
50,18
53,31
54,9
55,3
60,13
61,13
62,11
69,29
71,10
72,27
73,27
74,27
75,19
90,11
92,15
93,11
98,10
100,13
102,8
103,8
104,27
105,19
106,28
107,20
111,11
112,11
114,9
115,4
117,10
118,10
119,11
120,21
132,11
133,11
136,7
141,4
143,13
144,9
149,5
152,13
158,0
159,14
163,25
166,5
171,9
172,9
173,27
175,13
176,13
178,13
179,14
180,13
181,26
182,9
186,14
187,15
189,3
192,4
193,9
194,11
195,19
197,27
199,13
200,13
203,4
207,27
208,28
209,27
210,19
211,27
212,28
213,27
215,19
216,14
217,27
218,24
219,6
220,19
224,8
226,8
229,13
230,21
231,24
232,11
233,14
234,11
235,9
236,20
240,20
241,20
243,9
244,4
247,2
249,23
250,21
251,0
252,15
254,4
256,8
257,29
263,8
264,8
266,29
267,3
268,14
269,21
270,5
272,23
273,8
274,23
275,0
278,11
279,11
280,19
281,19
282,19
283,4
287,19
289,19
290,5
291,5
293,19
294,6
296,5
297,24
298,5
299,4
300,19
301,14
302,7
306,8
307,15
308,1
309,15
310,24
311,26
313,24
314,15
316,4
319,4
321,8
322,29
323,27
324,8
327,21
328,1
330,15
331,24
335,19
336,2
338,6
339,15
340,4
342,7
343,15
344,15
345,21
346,19
347,19
348,27
349,26
350,26
352,4
353,19
354,5
355,20
356,8
358,4
359,27
361,28
362,27
363,6
366,5
369,6
370,6
372,18
373,28
376,11
377,15
378,21
381,11
382,5
388,14
391,11
392,11
393,6
395,29
396,21
397,29
399,13
400,2
401,2
402,13
403,13
404,13
405,30
406,13
407,11
409,11
411,21
413,9
414,15
415,11
418,30
420,16
421,5
423,13
424,15
428,7
429,21
430,21
432,9
436,31
437,15
439,4
442,13
443,21
444,26
445,9
446,28
447,15
448,21
449,27
452,13
453,21
454,26
455,15
460,20
461,26
463,15
464,5
466,29
468,29
469,6
473,8
477,29
479,8
480,0
482,4
486,28
487,28
489,28
491,10
492,1
493,25
494,25
