	chem_id	external_id	relationship_type	priority	database
0	100	LIPIDMAPS:LMFA03020018	external_id	4	LIPIDMAPS
1	100	HMDB:HMDB0001509	external_id	4	HMDB
2	100	PubMed:3000366	external_id	4	PUBMED
3	100	PubMed:8382231	external_id	4	PUBMED
4	100	PubMed:8609415	external_id	4	PUBMED
5	100	KEGG:C04853	external_id	4	KEGG
6	100	CHEBI:15646	true_node	0	CHEBI
0	100000007	CHEBI:13091	alt_id	3	CHEBI
1	100000007	CHEBI:21256	alt_id	3	CHEBI
2	100000007	CHEBI:6202	alt_id	3	CHEBI
3	100000007	CHEBI:17126	is_a	7	CHEBI
4	100000007	CHEBI:11060	is_enantiomer_of	6	CHEBI
5	100000007	CHEBI:39547	is_conjugate_base_of	11	CHEBI
6	100000007	CHEBI:35679	has_role	10	CHEBI
7	100000007	CHEBI:27314	has_role	10	CHEBI
8	100000007	CHEBI:50733	has_role	10	CHEBI
9	100000007	CHEBI:66980	has_role	10	CHEBI
10	100000007	CHEBI:75772	has_role	10	CHEBI
11	100000007	KEGG:C00318	external_id	4	KEGG
12	100000007	CAS:541-15-1	external_id	4	CAS
13	100000007	Beilstein:4292315	external_id	4	BEILSTEIN
14	100000007	Gmelin:1782973	external_id	4	GMELIN
15	100000007	DrugBank:DB00583	external_id	4	DRUGBANK
16	100000007	Beilstein:5732837	external_id	4	BEILSTEIN
17	100000007	KEGG:D02176	external_id	4	KEGG
18	100000007	PDBeChem:152	external_id	4	PDBECHEM
19	100000007	HMDB:HMDB0000062	external_id	4	HMDB
20	100000007	MetaCyc:CARNITINE	external_id	4	METACYC
21	100000007	DrugCentral:513	external_id	4	DRUGCENTRAL
22	100000007	CHEBI:16347	true_node	0	CHEBI
0	100000008	CHEBI:13879	alt_id	3	CHEBI
1	100000008	CHEBI:22717	alt_id	3	CHEBI
2	100000008	CHEBI:22718	is_a	7	CHEBI
3	100000008	CHEBI:30746	is_conjugate_base_of	11	CHEBI
4	100000008	CHEBI:76967	has_role	10	CHEBI
5	100000008	CHEBI:76924	has_role	10	CHEBI
6	100000008	Beilstein:1862486	external_id	4	BEILSTEIN
7	100000008	CAS:766-76-7	external_id	4	CAS
8	100000008	Gmelin:2945	external_id	4	GMELIN
9	100000008	KEGG:C00180	external_id	4	KEGG
10	100000008	UM-BBD:c0121	external_id	4	UM-BBD
11	100000008	Reaxys:1862486	external_id	4	REAXYS
12	100000008	MetaCyc:BENZOATE	external_id	4	METACYC
13	100000008	HMDB:HMDB0001870	external_id	4	HMDB
14	100000008	CHEBI:16150	true_node	0	CHEBI
0	100000011	CHEBI:140310	is_a	7	CHEBI
1	100000011	CHEBI:22712	is_a	7	CHEBI
2	100000011	CHEBI:15882	has_functional_parent	8	CHEBI
3	100000011	KEGG:C00548	external_id	4	KEGG
4	100000011	CAS:122-79-2	external_id	4	CAS
5	100000011	Beilstein:636458	external_id	4	BEILSTEIN
6	100000011	KEGG:C15583	external_id	4	KEGG
7	100000011	PubMed:11121229	external_id	4	PUBMED
8	100000011	Reaxys:636458	external_id	4	REAXYS
