UI Level 1,UI Level 2,Phoenix Ontology,Matrix,Matrix Type,Organism,Species,Lab Workflows,Supercategory,Inclusion List Filename,Historical Data Filename
Blood,Human,Plasma+EDTA plasma+Mammal+Human,Plasma,EDTA plasma,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Plasma+Heparinized plasma+Mammal+Human,Plasma,Heparinized plasma,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Plasma+Citrate plasma+Mammal+Human,Plasma,Citrate plasma,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Plasma+Peripheral collection device+Mammal+Human,Plasma,Peripheral collection device,Mammal,Human,Special Protocol,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Serum+Serum+Mammal+Human,Serum,Serum,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Serum+Card+Mammal+Human,Serum,Card,Mammal,Human,Dry Blood Spot,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Serum+Peripheral collection device+Mammal+Human,Serum,Peripheral collection device,Mammal,Human,Special Protocol,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Dried blood spot (DBS)+Mammal+Human,Blood,Dried blood spot (DBS),Mammal,Human,Dry Blood Spot,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Cord blood+Mammal+Human,Blood,Cord blood,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Platelets+Mammal+Human,Blood,Platelets,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Red blood cells+Mammal+Human,Blood,Red blood cells,Mammal,Human,Cells,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Whole blood+Mammal+Human,Blood,Whole blood,Mammal,Human,Osmolality Independent Biofluids,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Human,Blood+Peripheral collection device+Mammal+Human,Blood,Peripheral collection device,Mammal,Human,Special Protocol,supercategory_1_human_blood,human_blood.csv,historic_data_lib208_supercategory_1_human_blood.csv
Blood,Other Mammal,Plasma+EDTA plasma+Mammal+Cow,Plasma,EDTA plasma,Mammal,Cow,Osmolality Independent Biofluids,supercategory_2_mammal_rodent_blood,animal_blood.csv,historic_data_lib208_supercategory_2_mammal_rodent_blood.csv
Blood,Other Mammal,Plasma+EDTA plasma+Mammal+Dog,Plasma,EDTA plasma,Mammal,Dog,Osmolality Independent Biofluids,supercategory_2_mammal_rodent_blood,animal_blood.csv,historic_data_lib208_supercategory_2_mammal_rodent_blood.csv
Blood,Other Mammal,Plasma+EDTA plasma+Mammal+Horse,Plasma,EDTA plasma,Mammal,Horse,Osmolality Independent Biofluids,supercategory_2_mammal_rodent_blood,animal_blood.csv,historic_data_lib208_supercategory_2_mammal_rodent_blood.csv
